DestinationID,CityName,countryName
6,New York City,United States
4,Paris,France
3,London,United Kingdom
10,Los Angeles,United States
12,Chicago,United States
7,Rome,Italy
19,San Francisco,United States
65,Washington DC,United States
27,Las Vegas,United States
41,Miami,United States
77,New Orleans,United States
13,Barcelona,Spain
33,Philadelphia,United States
15,Berlin,Germany
42,Buenos Aires,Argentina
48,Amsterdam,The Netherlands
2,Tokyo,Japan
18,Madrid,Spain
54,Boston,United States
28,Hong Kong,China
36,Prague,Czech Republic
47,Seattle,United States
50,San Diego,United States
39,Florence,Italy
515,Jamaica,Caribbean
8,Istanbul,Turkey
11,Bangkok,Thailand
20,Sydney,Australia
226,Bali,Indonesia
14,Houston,United States
29,Singapore,Singapore
49,Atlanta,United States
66,Venice,Italy
34,Portland,United States
58,Vienna,Austria
37,Orlando,United States
21,Dubai,United Arab Emirates
17,Toronto,Canada
51,Austin,United States
539,Hawaii,United States
61,Dallasâ€“Fort Worth,United States
9,Shanghai,China
64,Budapest,Hungary
80,Phoenix,United States
84,Denver,United States
79,Dublin,Ireland
16,Milan,Italy
31,Rio de Janeiro,Brazil
62,Munich,Germany
522,Beijing,China
93,Mexico City,Mexico
35,San Antonio,United States
30,Montreal,Canada
25,Melbourne,Australia
59,Vancouver,Canada
170,Cape Town,South Africa
69,Lisbon,Portugal
68,Edinburgh,United Kingdom
63,Marrakech,Morocco
100,Baltimore,United States
22,Moscow,Russia
365,Phuket,Thailand
130,Athens,Greece
95,Brussels,Belgium
106,Nashville,United States
110,Stockholm,Sweden
90,Kuala Lumpur,Malaysia
312,Santa Fe,United States
87,Hanoi,Vietnam
138,Copenhagen,Denmark
104,Santiago,Chile
82,Hamburg,Germany
264,Jerusalem,Israel
71,Mumbai,India
91,Naples,Italy
26,Seoul,South Korea
111,Frankfurt,Germany
38,New Delhi,India
72,Ho Chi Minh City,Vietnam
268,Key West,United States
40,St. Petersburg,Russia
227,Charleston,United States
133,Krakow,Poland
132,Lima,Peru
67,Chiang Mai,Thailand
103,Tucson,United States
278,San Juan,Caribbean
231,Cancun,Mexico
319,Koh Samui,Thailand
56,Cairo,Egypt
374,Salzburg,Austria
134,Seville,Spain
159,Zurich,Switzerland
511,British Virgin Islands,Caribbean
23,Sao Paulo,Brazil
208,Puerto Vallarta,Mexico
520,Trinidad and Tobago,Caribbean
57,Brisbane,Australia
203,Salt Lake City,United States
219,Havana,Caribbean
